PModel,Task,OpType,Opt,LNum,InsCount,Timer,AvTime,AbsErr,RelErr,TaskPerf
12th Gen Intel(R) Core(TM),TaylorSeriesExp,int,None,10,100000,Clock,0.044771,0.0002888,0.64506,22.4809
12th Gen Intel(R) Core(TM),TaylorSeriesCos,int,None,10,100000,Clock,0.024762,0.0001816,0.733382,40.6828
12th Gen Intel(R) Core(TM),TaylorSeriesLn,int,None,10,100000,Clock,0.001198,6.22e-05,5.19199,880.437
12th Gen Intel(R) Core(TM),TaylorSeriesExp,int,1,10,100000,Clock,0.034272,0.0014328,4.18067,30.4514
12th Gen Intel(R) Core(TM),TaylorSeriesCos,int,1,10,100000,Clock,0.015191,4.73e-05,0.311369,66.0341
12th Gen Intel(R) Core(TM),TaylorSeriesLn,int,1,10,100000,Clock,0.00062,1.7e-05,2.74194,1569.86
12th Gen Intel(R) Core(TM),TaylorSeriesExp,int,2,10,100000,Clock,0.033138,0.0009082,2.74066,31.0272
12th Gen Intel(R) Core(TM),TaylorSeriesCos,int,2,10,100000,Clock,0.010959,9.99e-05,0.91158,92.0887
12th Gen Intel(R) Core(TM),TaylorSeriesLn,int,2,10,100000,Clock,0.000219,9.2e-06,4.20091,4766.44
12th Gen Intel(R) Core(TM),TaylorSeriesExp,int,3,10,100000,Clock,0.029632,0.0003257,1.09915,33.3804
12th Gen Intel(R) Core(TM),TaylorSeriesCos,int,3,10,100000,Clock,0.01146,0.0006251,5.45462,92.2943
12th Gen Intel(R) Core(TM),TaylorSeriesLn,int,3,10,100000,Clock,0.000222,5.9e-06,2.65766,4627.49
12th Gen Intel(R) Core(TM),TaylorSeriesExp,double,None,10,100000,Clock,0.045454,0.0012672,2.78787,21.4036
12th Gen Intel(R) Core(TM),TaylorSeriesCos,double,None,10,100000,Clock,0.024905,0.0003931,1.5784,39.5287
12th Gen Intel(R) Core(TM),TaylorSeriesLn,double,None,10,100000,Clock,0.186284,0.0059712,3.20543,5.20142
12th Gen Intel(R) Core(TM),TaylorSeriesExp,double,1,10,100000,Clock,0.031557,0.0003416,1.08249,31.3493
12th Gen Intel(R) Core(TM),TaylorSeriesCos,double,1,10,100000,Clock,0.013803,0.000182,1.31855,71.5052
12th Gen Intel(R) Core(TM),TaylorSeriesLn,double,1,10,100000,Clock,0.139002,0.0069815,5.02259,7.57458
12th Gen Intel(R) Core(TM),TaylorSeriesExp,double,2,10,100000,Clock,0.03086,0.0002932,0.950097,32.7152
12th Gen Intel(R) Core(TM),TaylorSeriesCos,double,2,10,100000,Clock,0.012321,0.0005949,4.82834,85.2798
12th Gen Intel(R) Core(TM),TaylorSeriesLn,double,2,10,100000,Clock,0.135584,0.0112892,8.32635,6.80859
12th Gen Intel(R) Core(TM),TaylorSeriesExp,double,3,10,100000,Clock,0.030771,0.0007835,2.54623,33.3472
12th Gen Intel(R) Core(TM),TaylorSeriesCos,double,3,10,100000,Clock,0.01758,0.0047304,26.9078,77.8234
12th Gen Intel(R) Core(TM),TaylorSeriesLn,double,3,10,100000,Clock,0.147112,0.0017167,1.16693,6.71913

